curvature,lambda_centroid,overall_bleu1,multi_hop_bleu1,temporal_bleu1,open_domain_bleu1,single_hop_bleu1,adversarial_bleu1
10.0,0.1,0.2500,0.2080,0.2450,0.1040,0.3530,0.1190
1.0,1.0,0.2460,0.2100,0.2360,0.0960,0.3470,0.1190
10.0,1.0,0.2420,0.1970,0.2420,0.1030,0.3410,0.1140
0.1,0.3,0.2410,0.1990,0.2570,0.0890,0.3430,0.0970
1.0,0.1,0.2410,0.2080,0.2280,0.0880,0.3440,0.1120
1.0,0.3,0.2410,0.2120,0.2250,0.1010,0.3390,0.1160
0.1,0.5,0.2390,0.2030,0.2350,0.0790,0.3380,0.1110
0.1,1.0,0.2390,0.2050,0.2450,0.0950,0.3400,0.0980
1.0,0.5,0.2390,0.1910,0.2450,0.0870,0.3390,0.1110
0.1,0.1,0.2380,0.2070,0.2390,0.0950,0.3380,0.0970
10.0,0.3,0.2370,0.2150,0.2370,0.0850,0.3330,0.1020
10.0,0.5,0.2350,0.2080,0.2320,0.0850,0.3320,0.1020
0.01,0.3,0.2150,0.1800,0.2060,0.0920,0.3210,0.0680
0.01,0.5,0.2130,0.1810,0.2090,0.0810,0.3120,0.0800
0.01,0.1,0.2080,0.1890,0.2100,0.0950,0.3000,0.0710
0.01,1.0,0.2030,0.1660,0.2140,0.0660,0.3000,0.0650
