curvature,lambda_centroid,overall_f1,multi_hop_f1,temporal_f1,open_domain_f1,single_hop_f1,adversarial_f1
0.1,0.3,0.4580,0.2900,0.3350,0.1670,0.4050,0.8140
0.1,0.1,0.4570,0.2880,0.3140,0.1570,0.4060,0.8270
10.0,0.1,0.4570,0.2830,0.3210,0.1670,0.4210,0.7960
10.0,1.0,0.4560,0.2790,0.3160,0.1740,0.4110,0.8120
0.1,1.0,0.4520,0.2750,0.3200,0.1580,0.3990,0.8210
0.1,0.5,0.4510,0.2910,0.3120,0.1350,0.4030,0.8090
1.0,1.0,0.4510,0.2840,0.3110,0.1670,0.4160,0.7830
1.0,0.3,0.4500,0.2990,0.3000,0.1690,0.4060,0.7960
1.0,0.5,0.4500,0.2710,0.3180,0.1480,0.4080,0.8030
10.0,0.5,0.4500,0.2960,0.3100,0.1520,0.3980,0.8120
10.0,0.3,0.4490,0.2910,0.3090,0.1470,0.4010,0.8050
1.0,0.1,0.4470,0.2900,0.3060,0.1480,0.4100,0.7830
0.01,0.3,0.4430,0.2630,0.2830,0.1610,0.3810,0.8500
0.01,0.5,0.4340,0.2580,0.2870,0.1500,0.3690,0.8360
0.01,0.1,0.4330,0.2610,0.2870,0.1630,0.3620,0.8390
0.01,1.0,0.4300,0.2490,0.2930,0.1380,0.3590,0.8410
